PeakID (cmd=annotatePeaks.pl PPARg_exPPARg_RIPA_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-61	chr11	4438226	4438399	+	28.3	0.000	intron (NM_029458, intron 1 of 10)	L2|LINE|L2	2770	NM_029458	75828	Mm.159592	NM_029458	ENSMUSG00000020419	Hormad2	4930529M09Rik	HORMA domain containing 2	protein-coding
chr19-21	chr19	4066359	4066532	+	28.3	0.000	Intergenic	B3A|SINE|B2	-7151	NM_144869	225884	Mm.440201	NM_144869	ENSMUSG00000058216	BC021614	-	cDNA sequence BC021614	protein-coding
chr2-38	chr2	60096702	60096875	+	28.3	0.000	intron (NM_001001182, intron 1 of 35)	intron (NM_001001182, intron 1 of 35)	28952	NM_001001182	407823	Mm.228071	NM_001001182	ENSMUSG00000026987	Baz2b	5830435C13Rik|BC053917|D2Ertd794e	bromodomain adjacent to zinc finger domain, 2B	protein-coding
chr2-101	chr2	48471384	48471557	+	28.3	0.000	Intergenic	Intergenic	-342639	NM_007396	11480	Mm.314338	NM_007396	ENSMUSG00000052155	Acvr2a	ActrIIa|Acvr2|TactrII	activin receptor IIA	protein-coding
chr8-17	chr8	126814412	126814585	+	28.3	0.000	Intergenic	Intergenic	-92698	NR_037297	100526512		NR_037297	ENSMUSG00000092794	Mir3110	mmu-mir-3110	microRNA 3110	ncRNA
chr11-54	chr11	21158668	21158841	+	28.3	0.000	Intergenic	B4A|SINE|B4	67430	NM_023324	67245	Mm.28957	NM_023324	ENSMUSG00000020134	Peli1	2810468L03Rik|A930031K15Rik|AA409794|AI586297|D11Ertd676e	pellino 1	protein-coding
chr10-18	chr10	98720123	98720296	+	28.3	0.000	Intergenic	Intergenic	-194943	NM_026482	67972	Mm.166944	NM_026482	ENSMUSG00000019943	Atp2b1	2810442I22Rik|E130111D10Rik|Pmca1	ATPase, Ca++ transporting, plasma membrane 1	protein-coding
chr12-10	chr12	73905140	73905313	+	28.3	0.000	Intergenic	Intergenic	-2641	NM_010431	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF-1-alpha|HIF1-alpha|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding
chr8-35	chr8	86629608	86629781	+	28.3	0.000	intron (NM_025827, intron 1 of 14)	intron (NM_025827, intron 1 of 14)	5651	NM_025827	66887	Mm.324550	NM_025827	ENSMUSG00000047866	Lonp2	1300002A08Rik|AU015403|Lonp	lon peptidase 2, peroxisomal	protein-coding
chr6-35	chr6	122588431	122588604	+	28.3	0.000	intron (NM_031159, intron 4 of 7)	intron (NM_031159, intron 4 of 7)	13927	NM_001134391	11810	Mm.3333	NM_031159	ENSMUSG00000040613	Apobec1	Cdar1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	protein-coding
chr1-37	chr1	131698853	131699026	+	27.4	0.000	intron (NM_145509, intron 4 of 5)	intron (NM_145509, intron 4 of 5)	10244	NM_145509	226421	Mm.44508	NM_145509	ENSMUSG00000052688	Rab7b	5430435G22Rik	RAB7B, member RAS oncogene family	protein-coding
chr5-32	chr5	117245272	117245445	+	27.4	0.000	intron (NM_001199685, intron 14 of 20)	B4A|SINE|B4	42206	NM_018858	23980	Mm.195898	NM_018858	ENSMUSG00000032959	Pebp1	HCNP|Pbp|Pbp1|Pbpr|Rkip	phosphatidylethanolamine binding protein 1	protein-coding
chr6-18	chr6	71185261	71185434	+	27.4	0.000	Intergenic	Intergenic	-14541	NM_017399	14080	Mm.22126	NM_017399	ENSMUSG00000054422	Fabp1	Fabpl|L-FABP	fatty acid binding protein 1, liver	protein-coding
chr10-25	chr10	30654378	30654551	+	27.4	0.000	intron (NM_172495, intron 11 of 15)	intron (NM_172495, intron 11 of 15)	1403	NM_001111267	211329	Mm.297903	NM_172495	ENSMUSG00000039697	Ncoa7	9030406N13Rik	nuclear receptor coactivator 7	protein-coding
chr11-63	chr11	53342325	53342498	+	27.4	0.000	Intergenic	Intergenic	-8356	NM_033565	93736	Mm.395281	NM_033565	ENSMUSG00000049470	Aff4	AF5Q31|Alf4|Laf4l|MCEF	AF4/FMR2 family, member 4	protein-coding
chr2-45	chr2	167847804	167847977	+	27.4	0.000	Intergenic	Intergenic	-84437	NM_011201	19246	Mm.277916	NM_011201	ENSMUSG00000027540	Ptpn1	PTP-1B|PTP-HA2|PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding
chr4-20	chr4	93566928	93567101	+	27.4	0.000	Intergenic	Tigger16a|DNA|TcMar-Tigger	-231503	NM_026954	69136	Mm.171558	NM_026954	ENSMUSG00000054000	Tusc1	2200001D17Rik|TSG-9	tumor suppressor candidate 1	protein-coding
chr15-17	chr15	73093294	73093467	+	27.4	0.000	intron (NM_053068, intron 2 of 2)	intron (NM_053068, intron 2 of 2)	2968	NM_053068	93696	Mm.23095	NM_053068	ENSMUSG00000068391	Chrac1	2410152E03Rik|2810406L04Rik|YCL1	chromatin accessibility complex 1	protein-coding
chr1-19	chr1	166819544	166819717	+	27.4	0.000	Intergenic	Intergenic	-137785	NM_172844	240894	Mm.246610	NM_172844	ENSMUSG00000026560	Fmo9	4831428F09Rik	flavin containing monooxygenase 9	protein-coding
chr10-15	chr10	62506531	62506704	+	27.4	0.000	intron (NM_011157, intron 1 of 2)	intron (NM_011157, intron 1 of 2)	1138	NM_011157	19073	Mm.338790	NM_011157	ENSMUSG00000020077	Srgn	Prg|Prg1|Sgc	serglycin	protein-coding
chr6-26	chr6	71273602	71273775	+	27.4	0.000	intron (NM_145568, intron 1 of 3)	intron (NM_145568, intron 1 of 3)	1669	NM_145568	57896	Mm.250569	NM_145568	ENSMUSG00000053012	Krcc1	AA792894	lysine-rich coiled-coil 1	protein-coding
chr19-15	chr19	5364237	5364410	+	27.4	0.000	TTS (NM_001038231)	TTS (NM_001038231)	2040	NM_001038231	23825	Mm.358649	NM_011793	ENSMUSG00000024844	Banf1	Baf|Bcrp1|L2bp1/Baf	barrier to autointegration factor 1	protein-coding
chr1-77	chr1	139413670	139413843	+	27.4	0.000	Intergenic	Intergenic	-8627	NM_172643	226470	Mm.119711	NM_172643	ENSMUSG00000033964	Zbtb41	8430415N23Rik|9430031N01|9830132G07Rik|AI316857	zinc finger and BTB domain containing 41 homolog	protein-coding
chr13-17	chr13	20131863	20132036	+	27.4	0.000	intron (NM_080288, intron 1 of 21)	intron (NM_080288, intron 1 of 21)	41442	NM_080288	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
chr12-23	chr12	106944850	106945023	+	27.4	0.000	Intergenic	Intergenic	-228612	NR_015512	71033	Mm.159404	NR_015512	ENSMUSG00000085820	4933406K04Rik	4930426M03Rik|4930485I22Rik|4933427G14Rik	RIKEN cDNA 4933406K04 gene	ncRNA
chr7-60	chr7	79447249	79447422	+	27.4	0.000	intron (NM_145946, intron 34 of 37)	intron (NM_145946, intron 34 of 37)	18938	NM_017462	18975	Mm.3616	NM_017462	ENSMUSG00000039176	Polg	AA409516|PolgA	polymerase (DNA directed), gamma	protein-coding
chr17-59	chr17	34134315	34134488	+	27.4	0.000	intron (NM_010386, intron 1 of 5)	Tigger7|DNA|TcMar-Tigger	-11015	NM_010388	15000	Mm.195060	NM_010388		H2-DMb2	H-2Mb2|H2-Mb2	histocompatibility 2, class II, locus Mb2	protein-coding
chr19-18	chr19	11053047	11053220	+	27.4	0.000	Intergenic	Intergenic	-2567	NR_102366	107350	Mm.6381	NM_001177351	ENSMUSG00000075010	AW112010	-	expressed sequence AW112010	ncRNA
chr3-38	chr3	98267229	98267402	+	27.4	0.000	Intergenic	Intergenic	-13116	NM_008256	15360	Mm.289131	NM_008256	ENSMUSG00000027875	Hmgcs2	1300002P16|mHS	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	protein-coding
chr4-19	chr4	109472714	109472887	+	27.4	0.000	intron (NM_013876, intron 1 of 2)	intron (NM_013876, intron 1 of 2)	3705	NM_013876	29864	Mm.392580	NM_013876	ENSMUSG00000028557	Rnf11	-	ring finger protein 11	protein-coding
chr15-41	chr15	39354850	39355023	+	27.4	0.000	intron (NM_053271, intron 5 of 26)	ORR1C1|LTR|ERVL-MaLR	156650	NM_001256383	116838	Mm.309296	NM_053271		Rims2	2810036I15Rik|AW048769|RIM2|Rab3ip2|Rim2(+40A)|Rim2(+44A)|Rim2(+4A)|Serg2|Syt3-rs|mKIAA0751	regulating synaptic membrane exocytosis 2	protein-coding
chr10-37	chr10	96239038	96239211	+	27.4	0.000	intron (NR_110448, intron 1 of 2)	intron (NR_110448, intron 1 of 2)	12917	NR_110448	74881	Mm.410819	NR_110448		4930459C07Rik	-	RIKEN cDNA 4930459C07 gene	ncRNA
chr8-26	chr8	122585620	122585793	+	27.4	0.000	intron (NM_001193645, intron 9 of 11)	intron (NM_001193645, intron 9 of 11)	-8799	NM_009698	11821	Mm.1786	NM_009698	ENSMUSG00000006589	Aprt	C85684	adenine phosphoribosyl transferase	protein-coding
chr6-24	chr6	48579111	48579284	+	27.4	0.000	Intergenic	RLTR42-int|LTR|ERVK	-6527	NM_027852	71660	Mm.28231	NM_027852	ENSMUSG00000009281	Rarres2	0610007L05Rik|AI303516	retinoic acid receptor responder (tazarotene induced) 2	protein-coding
chr16-36	chr16	97321842	97322015	+	27.4	0.000	Intergenic	RMER15|LTR|ERVL	-34800	NM_019517	56175	Mm.97885	NM_019517	ENSMUSG00000040605	Bace2	1110059C24Rik|AEPLC|AI850424|ALP56|ARP1|ASP21|BAE2|CDA13|CEAP1|DRAP	beta-site APP-cleaving enzyme 2	protein-coding
chr2-71	chr2	9141513	9141686	+	27.4	0.000	Intergenic	MER44B|DNA|TcMar-Tigger	-47916	NR_038180	73438	Mm.23558	NR_038180	ENSMUSG00000085580	1700061F12Rik	-	RIKEN cDNA 1700061F12 gene	ncRNA
chr18-7	chr18	12632878	12633051	+	27.4	0.000	Intergenic	Intergenic	-10569	NM_028341	72747	Mm.52526	NM_028341	ENSMUSG00000024424	Ttc39c	1700008N02Rik|2810439F02Rik	tetratricopeptide repeat domain 39C	protein-coding
chr3-43	chr3	144488614	144488787	+	27.4	0.000	intron (NM_011828, intron 1 of 6)	B1F|SINE|Alu	81516	NM_011828	23908	Mm.12863	NM_011828		Hs2st1	AW214369|Hs2st|mKIAA0448	heparan sulfate 2-O-sulfotransferase 1	protein-coding
chr10-59	chr10	90747309	90747482	+	27.4	0.000	intron (NM_181398, intron 3 of 9)	intron (NM_181398, intron 3 of 9)	170704	NM_001177398	77531	Mm.440605	NM_181398	ENSMUSG00000058589	Anks1b	AIDA-1b|C030032C09Rik|E530015N03Rik|ENSMUSG00000078431|Gm10937|Gm1555	ankyrin repeat and sterile alpha motif domain containing 1B	protein-coding
chr15-39	chr15	80663117	80663290	+	27.4	0.000	Intergenic	Intergenic	-8644	NM_145986	213956	Mm.132439	NM_145986	ENSMUSG00000022408	Fam83f	AW544981	family with sequence similarity 83, member F	protein-coding
chr6-33	chr6	51100131	51100304	+	27.4	0.000	Intergenic	Intergenic	169693	NR_029719	387166		NR_029719	ENSMUSG00000065505	Mir148a	Mirn148|Mirn148a|mir-148a	microRNA 148a	ncRNA
chr4-9	chr4	117476519	117476692	+	27.4	0.000	intron (NM_025739, intron 2 of 14)	intron (NM_025739, intron 2 of 14)	20310	NM_025739	66743	Mm.318331	NM_025739	ENSMUSG00000028677	Rnf220	4732477A13|4931406I20Rik|5730503K05Rik|AV302541	ring finger protein 220	protein-coding
chr16-86	chr16	92842220	92842393	+	27.4	0.000	Intergenic	URR1A|DNA|hAT-Charlie	-16232	NM_001111022	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
chr6-34	chr6	129216463	129216636	+	27.4	0.000	Intergenic	Intergenic	21496	NR_040265	76432	Mm.261738	NR_040265	ENSMUSG00000097354	2310001H17Rik	AI646108	RIKEN cDNA 2310001H17 gene	ncRNA
chr19-40	chr19	4995259	4995432	+	27.4	0.000	Intergenic	RSINE1|SINE|B4	-5374	NM_153553	225872	Mm.287867	NM_153553	ENSMUSG00000045903	Npas4	LE-PAS|Nxf	neuronal PAS domain protein 4	protein-coding
chr12-29	chr12	108641044	108641217	+	27.4	0.000	intron (NM_001163396, intron 2 of 14)	intron (NM_001163396, intron 2 of 14)	5377	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding
chr10-17	chr10	117678425	117678598	+	27.4	0.000	intron (NM_027468, intron 7 of 8)	intron (NM_027468, intron 7 of 8)	32247	NM_001288586	17246	Mm.22670	NM_010786	ENSMUSG00000020184	Mdm2	1700007J15Rik|AA415488|Mdm-2	transformed mouse 3T3 cell double minute 2	protein-coding
chr2-41	chr2	49483607	49483780	+	26.4	0.000	intron (NM_172663, intron 1 of 13)	intron (NM_172663, intron 1 of 13)	32207	NM_172663	227867	Mm.29167	NM_172663	ENSMUSG00000069495	Epc2	5830499L14|D2Ertd694e	enhancer of polycomb homolog 2 (Drosophila)	protein-coding
chr7-32	chr7	28693919	28694092	+	26.4	0.000	intron (NM_207238, intron 2 of 5)	intron (NM_207238, intron 2 of 5)	861	NM_001163702	233040	Mm.116116	NM_207238	ENSMUSG00000037463	Fbxo27	E130008B10Rik|FBG5|Gm161	F-box protein 27	protein-coding
chr15-79	chr15	81591372	81591545	+	26.4	0.000	intron (NM_177821, intron 1 of 30)	intron (NM_177821, intron 1 of 30)	5244	NM_177821	328572	Mm.258397	NM_177821	ENSMUSG00000055024	Ep300	A430090G16|A730011L11|KAT3B|p300|p300 HAT	E1A binding protein p300	protein-coding
chr2-39	chr2	44818717	44818890	+	26.4	0.000	intron (NM_172662, intron 3 of 10)	intron (NM_172662, intron 3 of 10)	42819	NM_172662	227835	Mm.314312	NM_172662	ENSMUSG00000036890	Gtdc1	E330008O22Rik	glycosyltransferase-like domain containing 1	protein-coding
chr4-59	chr4	103346990	103347163	+	26.4	0.000	intron (NM_025909, intron 7 of 8)	intron (NM_025909, intron 7 of 8)	33230	NM_025909	67013	Mm.30021	NM_025909	ENSMUSG00000035069	Oma1	2010001O09Rik|MPRP-1|ZMPOMA1	OMA1 homolog, zinc metallopeptidase (S. cerevisiae)	protein-coding
chr9-63	chr9	66874229	66874402	+	26.4	0.000	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	-39609	NM_026674	68318	Mm.284229	NM_026674	ENSMUSG00000053040	Aph1c	0610008A10Rik|APH-1b|Aph1b	anterior pharynx defective 1c homolog (C. elegans)	protein-coding
chr7-18	chr7	30812000	30812173	+	26.4	0.000	Intergenic	Intergenic	8891	NM_001168512	233079	Mm.97338	NM_146187	ENSMUSG00000051314	Ffar2	GPCR43|Gpr43	free fatty acid receptor 2	protein-coding
chr4-15	chr4	129060129	129060302	+	26.4	0.000	intron (NM_029219, intron 1 of 8)	intron (NM_029219, intron 1 of 8)	1944	NM_029219	75234	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding
chr14-64	chr14	10410826	10410999	+	26.4	0.000	intron (NM_010210, intron 4 of 8)	intron (NM_010210, intron 4 of 8)	526817	NR_030680	100042415	Mm.235938	NR_030680		Mnd1-ps	Gm3833	Mnd1 retrotransposed pseudogene	pseudo
chr7-48	chr7	140355135	140355308	+	26.4	0.000	Intergenic	Intergenic	-9234	NM_146955	18361	Mm.222844	NM_146955	ENSMUSG00000060112	Olfr60	IH6|MOR253-6	olfactory receptor 60	protein-coding
chr3-104	chr3	16223579	16223752	+	26.4	0.000	Intergenic	Intergenic	40482	NM_172677	229096	Mm.23834	NM_172677	ENSMUSG00000047213	Ythdf3	9130022A11Rik	YTH domain family 3	protein-coding
chr17-63	chr17	50680916	50681089	+	26.4	0.000	intron (NM_013880, intron 5 of 5)	intron (NM_013880, intron 5 of 5)	-17679	NM_001297747	12228	Mm.392910	NM_009770	ENSMUSG00000022863	Btg3	ANA|tob5	B cell translocation gene 3	protein-coding
chr11-56	chr11	76813445	76813618	+	26.4	0.000	exon (NM_007754, exon 4 of 21)	exon (NM_007754, exon 4 of 21)	33477	NM_007754	12874	Mm.276736	NM_007754	ENSMUSG00000020841	Cpd	AA960140|AW322530|D830034L15Rik	carboxypeptidase D	protein-coding
chr13-20	chr13	30724945	30725118	+	26.4	0.000	Intergenic	Intergenic	-24227	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding
chr7-26	chr7	142499037	142499210	+	26.4	0.000	intron (NM_001163665, intron 1 of 17)	intron (NM_001163665, intron 1 of 17)	287	NM_001163667	21957	Mm.389992	NM_011620	ENSMUSG00000061723	Tnnt3	fTnT	troponin T3, skeletal, fast	protein-coding
chr11-53	chr11	52046781	52046954	+	26.4	0.000	intron (NM_001166654, intron 13 of 13)	intron (NM_001166654, intron 13 of 13)	42646	NM_001166655	213084	Mm.280557	NM_153785	ENSMUSG00000020389	Cdkl3	AI852479|B230379H01Rik	cyclin-dependent kinase-like 3	protein-coding
chr15-27	chr15	80704527	80704700	+	26.4	0.000	Intergenic	PB1D10|SINE|Alu	-6700	NM_144812	213988	Mm.131328	NM_144812	ENSMUSG00000047888	Tnrc6b	2700090M07Rik|A730065C02Rik|AI848765|D230019K20Rik	trinucleotide repeat containing 6b	protein-coding
chr11-50	chr11	113788546	113788719	+	26.4	0.000	intron (NM_172800, intron 44 of 44)	intron (NM_172800, intron 44 of 44)	-36817	NM_001163346	56699	Mm.293378	NM_020006	ENSMUSG00000041598	Cdc42ep4	1500041M20Rik|Borg4|CEP4	CDC42 effector protein (Rho GTPase binding) 4	protein-coding
chr14-21	chr14	32784543	32784716	+	26.4	0.000	Intergenic	Intergenic	-1334	NM_001163616	69069	Mm.261609	NM_001163616	ENSMUSG00000041707	1810011H11Rik	4733401I05Rik	RIKEN cDNA 1810011H11 gene	protein-coding
chr7-23	chr7	75575391	75575564	+	26.4	0.000	intron (NM_029332, intron 3 of 36)	intron (NM_029332, intron 3 of 36)	119943	NM_029332	75547	Mm.216107	NM_029332	ENSMUSG00000066406	Akap13	1700026G02Rik|5730522G15Rik|5830460E08Rik|AKAP-Lbc|BRX|Ht31|LBC|PROTO-LB|PROTO-LBC	A kinase (PRKA) anchor protein 13	protein-coding
chr11-31	chr11	50229408	50229581	+	26.4	0.000	intron (NM_145926, intron 1 of 14)	intron (NM_145926, intron 1 of 14)	-2751	NR_105884	102466765		NR_105884	ENSMUSG00000098474	Mir6919	Gm27889|mmu-mir-6919	microRNA 6919	ncRNA
chr2-23	chr2	9578037	9578210	+	26.4	0.000	Intergenic	Intergenic	300477	NM_008091	14462	Mm.313866	NM_008091	ENSMUSG00000015619	Gata3	Gata-3|jal	GATA binding protein 3	protein-coding
chr6-32	chr6	65115101	65115274	+	26.4	0.000	3' UTR (NM_001253392, exon 22 of 22)	3' UTR (NM_001253392, exon 22 of 22)	29543	NM_019455	54486	Mm.410688	NM_019455	ENSMUSG00000029919	Hpgds	H-PGDS|Ptgds2	hematopoietic prostaglandin D synthase	protein-coding
chr7-93	chr7	45305396	45305569	+	26.4	0.000	exon (NM_175130, exon 21 of 25)	exon (NM_175130, exon 21 of 25)	-19476	NR_110499	100040970	Mm.289810	NR_110499		Rpl14-ps1	ENSMUSG00000046721|Gm9811	ribosomal protein L14, pseudogene 1	pseudo
chr8-30	chr8	122461161	122461334	+	26.4	0.000	promoter-TSS (NM_013914)	promoter-TSS (NM_013914)	-555	NM_013914	30927	Mm.103673	NM_013914	ENSMUSG00000006587	Snai3	AI643946|Smuc|Zfp293	snail family zinc finger 3	protein-coding
chr12-34	chr12	52602604	52602777	+	26.4	0.000	promoter-TSS (NR_045910)	promoter-TSS (NR_045910)	-368	NR_045910	73278	Mm.396209	NR_045910	ENSMUSG00000100315	1700031P21Rik	-	RIKEN cDNA 1700031P21 gene	ncRNA
chr2-31	chr2	58183904	58184077	+	26.4	0.000	Intergenic	Intergenic	20016	NR_045896	100042926	Mm.446515	NR_045895	ENSMUSG00000086862	Gm13546	OTTMUSG00000012675	predicted gene 13546	ncRNA
chr5-31	chr5	62715554	62715727	+	26.4	0.000	intron (NM_178407, intron 6 of 32)	intron (NM_178407, intron 6 of 32)	50537	NM_178407	212285	Mm.244403	NM_178407	ENSMUSG00000037999	Arap2	Centd1|Gm148|mKIAA0580	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding
chr8-19	chr8	22391085	22391258	+	26.4	0.000	intron (NM_181325, intron 2 of 6)	intron (NM_181325, intron 2 of 6)	7450	NM_181325	18408	Mm.200907	NM_181325	ENSMUSG00000031482	Slc25a15	D630044L02Rik|Ornt1	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15	protein-coding
chr2-67	chr2	52313975	52314148	+	26.4	0.000	intron (NM_010889, intron 10 of 156)	intron (NM_010889, intron 10 of 156)	23059	NR_040620	78049	Mm.243883	NR_040620		4930573O16Rik	-	RIKEN cDNA 4930573O16 gene	ncRNA
chr11-72	chr11	86836525	86836698	+	26.4	0.000	intron (NR_106195, intron 2 of 8)	intron (NR_106195, intron 2 of 8)	-28951	NM_026191	67487	Mm.260627	NM_026191	ENSMUSG00000018425	Dhx40	2410016C14Rik|ARG147|DDX40|PAD	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein-coding
chr12-19	chr12	86818552	86818725	+	26.4	0.000	Intergenic	Intergenic	66176	NM_145836	238330	Mm.248358	NM_145836	ENSMUSG00000034168	Irf2bpl	6430527G18Rik|Eap1	interferon regulatory factor 2 binding protein-like	protein-coding
chr7-15	chr7	35742439	35742612	+	26.4	0.000	intron (NM_178704, intron 3 of 18)	intron (NM_178704, intron 3 of 18)	11929	NM_178704	233115	Mm.257808	NM_178704	ENSMUSG00000043671	Dpy19l3	6030410G08|9330164H19Rik	dpy-19-like 3 (C. elegans)	protein-coding
chr14-33	chr14	31022753	31022926	+	26.4	0.000	5' UTR (NM_001081251, exon 2 of 33)	5' UTR (NM_001081251, exon 2 of 33)	3701	NM_001081251	66923	Mm.27913	NM_025847	ENSMUSG00000042323	Pbrm1	2610016F04Rik|AI507524|BAF180|Pb1	polybromo 1	protein-coding
chr7-37	chr7	100461540	100461713	+	26.4	0.000	intron (NM_001017985, intron 32 of 32)	MIRb|SINE|MIR	-11365	NM_009464	22229	Mm.6254	NM_009464	ENSMUSG00000032942	Ucp3	AI645527|Slc25a9|UCP-3	uncoupling protein 3 (mitochondrial, proton carrier)	protein-coding
chr4-34	chr4	44216586	44216759	+	26.4	0.000	Intergenic	Intergenic	4595	NR_039565	100628618		NR_039565	ENSMUSG00000092677	Mir5106	mir-5106|mmu-mir-5106|mu-mir-5106	microRNA 5106	ncRNA
chr19-77	chr19	4935424	4935597	+	26.4	0.000	intron (NM_172835, intron 4 of 6)	B3A|SINE|B2	-7223	NM_133803	75221	Mm.234769	NM_133803	ENSMUSG00000063904	Dpp3	4930533O14Rik|C86324	dipeptidylpeptidase 3	protein-coding
chr9-62	chr9	80137206	80137379	+	26.4	0.000	intron (NM_146003, intron 18 of 22)	intron (NM_146003, intron 18 of 22)	-27742	NM_001039546	17920	Mm.4040	NM_008662	ENSMUSG00000033577	Myo6	BC029719|Tlc|sv	myosin VI	protein-coding
chr10-34	chr10	17653851	17654024	+	26.4	0.000	Intergenic	Intergenic	-69291	NM_010828	17684	Mm.272321	NM_010828	ENSMUSG00000039910	Cited2	AI835299|ER154-like|Mrg1|Msg2|p35srj	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	protein-coding
chr16-34	chr16	64794945	64795118	+	26.4	0.000	Intergenic	Intergenic	-8710	NM_028059	72020	Mm.25960	NM_028059	ENSMUSG00000047141	Zfp654	1600021C16Rik|1810008K20Rik|Znf654	zinc finger protein 654	protein-coding
chr19-38	chr19	31505262	31505435	+	26.4	0.000	intron (NM_001013833, intron 2 of 17)	intron (NM_001013833, intron 2 of 17)	159022	NM_011160	19091	Mm.381170	NM_011160	ENSMUSG00000052920	Prkg1	AW125416|CGKI|Gm19690|Prkg1b|Prkgr1b	protein kinase, cGMP-dependent, type I	protein-coding
chr10-36	chr10	79681434	79681607	+	26.4	0.000	promoter-TSS (NM_177613)	promoter-TSS (NM_177613)	-675	NM_177613	216150	Mm.21981	NM_177613	ENSMUSG00000020307	Cdc34	AI327276|UBE2R1	cell division cycle 34	protein-coding
chr13-16	chr13	43477065	43477238	+	26.4	0.000	intron (NM_019930, intron 1 of 13)	intron (NM_019930, intron 1 of 13)	3822	NM_019930	56705	Mm.148781	NM_019930	ENSMUSG00000038546	Ranbp9	IBAP-1|Ibap1|RanBPM	RAN binding protein 9	protein-coding
chr19-8	chr19	55132326	55132499	+	26.4	0.000	Intergenic	MIRb|SINE|MIR	-32965	NM_008149	14732	Mm.210196	NM_008149	ENSMUSG00000024978	Gpam	GPAT|GPAT1	glycerol-3-phosphate acyltransferase, mitochondrial	protein-coding
chr10-19	chr10	18955735	18955908	+	26.4	0.000	Intergenic	Intergenic	56142	NM_001166402	21929	Mm.116683	NM_009397	ENSMUSG00000019850	Tnfaip3	A20|Tnfip3	tumor necrosis factor, alpha-induced protein 3	protein-coding
chr2-145	chr2	34958082	34958255	+	26.4	0.000	intron (NM_009421, intron 4 of 10)	intron (NM_009421, intron 4 of 10)	3604	NM_009421	22029	Mm.239514	NM_009421	ENSMUSG00000026875	Traf1	4732496E14Rik	TNF receptor-associated factor 1	protein-coding
chr1-33	chr1	161309327	161309500	+	26.4	0.000	Intergenic	Intergenic	-58247	NM_007453	11758	Mm.186185	NM_007453	ENSMUSG00000026701	Prdx6	1-Cys Prx|1-cysPrx|9430088D19Rik|AA690119|Aop2|Brp-12|CP-3|GPx|Ltw-4|Ltw4|Lvtw-4|NSGPx|ORF06|Prdx5|aiPLA2	peroxiredoxin 6	protein-coding
chr1-25	chr1	171783306	171783479	+	26.4	0.000	intron (NM_013730, intron 3 of 6)	intron (NM_013730, intron 3 of 6)	16260	NM_013730	27218	Mm.103648	NM_013730	ENSMUSG00000015316	Slamf1	4933415F16|AA177906|CD150|CDw150|ESTM51|IPO-3|Slam	signaling lymphocytic activation molecule family member 1	protein-coding
chr7-45	chr7	100310139	100310312	+	26.4	0.000	intron (NM_177161, intron 7 of 12)	intron (NM_177161, intron 7 of 12)	24705	NM_177161	320452	Mm.150294	NM_177161	ENSMUSG00000051048	P4ha3	D930031A02Rik	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III	protein-coding
chr2-40	chr2	24318173	24318346	+	26.4	0.000	Intergenic	Intergenic	-18601	NM_031167	16181	Mm.882	NM_031167	ENSMUSG00000026981	Il1rn	F630041P17Rik|IL-1ra	interleukin 1 receptor antagonist	protein-coding
chr2-50	chr2	181100166	181100339	+	26.4	0.000	intron (NM_001003824, intron 9 of 16)	intron (NM_001003824, intron 9 of 16)	34973	NM_001006676	16536	Mm.40615	NM_010611	ENSMUSG00000016346	Kcnq2	HNSPC|KQT2|Nmf134	potassium voltage-gated channel, subfamily Q, member 2	protein-coding
